side,heroDid,modelId,hierarchyPath,activeInHierarchy,componentTypes,rendererType,rendererEnabled,materialNames,shaderNames,shaderSupported,textureNames,meshVertexCount,meshTriangleIndexCount,localPosition,localScale
"our","1002","1002","BATTLE36_LoadableActor_our_1002_model_1002",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;Spine.Unity.SkeletonAnimation","MeshRenderer",true,"1002_Material","Spine/Skeleton Tint","Spine/Skeleton Tint=false/pass3","1002(1024x512)",736,2028,"-2.35/-0.35/0","0.72/0.72/0.72"
"our","1034","1034","BATTLE36_LoadableActor_our_1034_model_1034",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;Spine.Unity.SkeletonAnimation","MeshRenderer",true,"1034_Material;1034_Material-Screen","Spine/Skeleton Tint;Spine/Blend Modes/Skeleton PMA Screen","Spine/Skeleton Tint=false/pass3;Spine/Blend Modes/Skeleton PMA Screen=false/pass3","1034(2048x1024);1034(2048x1024)",1283,3381,"-0.2/-0.35/0","0.72/0.72/0.72"
"enemy","1100111","3001","BATTLE36_LoadableActor_enemy_1100111_model_3001",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer;Spine.Unity.SkeletonAnimation","MeshRenderer",true,"3001_Material","Spine/Skeleton Tint","Spine/Skeleton Tint=false/pass3","3001(512x512)",611,2097,"2.1/-0.2/0","0.68/0.68/0.68"
