sourceBundle,sourceBundlePath,buttonComponentPathId,buttonGameObjectPathId,buttonScriptPathId,buttonFullName,originalButtonPath,buttonSuffix,targetGraphicRef,targetComponentPathId,targetGameObjectPathId,targetFullName,targetScriptPathId,originalTargetPath,targetSuffix,targetRaycastTarget,targetColor,targetSpriteRef,targetMaterialRef,buttonSizeDelta,buttonAnchoredPosition,buttonAnchorMin,buttonAnchorMax,buttonPivot,targetSizeDelta,targetAnchoredPosition,targetAnchorMin,targetAnchorMax,targetPivot,patchEligible,evidence
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,1657226068032990588,-6581597749769498066,-787143586316466668,UnityEngine.UI.Button,UI_Battle3DUI/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,0:-4520102344517242134,-4520102344517242134,-6581597749769498066,UnityEngine.UI.Image,-7030229213176759517,UI_Battle3DUI/root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,1,1.000/1.000/1.000/0.000,6:6617065208850742552,0:0,80.000/80.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,80.000/80.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,true,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,1808505248646499387,7787724353074970302,-787143586316466668,UnityEngine.UI.Button,UI_BattleBoxPage/pop_Content/box_item/btn_box,root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,0:8687634322255240727,8687634322255240727,7787724353074970302,UnityEngine.UI.Image,-7030229213176759517,UI_BattleBoxPage/pop_Content/box_item/btn_box,root_battle/UI_BattleBoxPage/pop_Content/box_item/btn_box,1,1.000/1.000/1.000/0.000,6:6617065208850742552,0:0,80.000/80.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,80.000/80.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,-1250069786017346499,1597260868929727977,-787143586316466668,UnityEngine.UI.Button,UI_BattleItemFly/root_item/itemCell76/btn_icon,UI_BattleItemFly/root_item/itemCell76/btn_icon,0:1034466598964245833,1034466598964245833,1597260868929727977,UnityEngine.UI.Image,-7030229213176759517,UI_BattleItemFly/root_item/itemCell76/btn_icon,UI_BattleItemFly/root_item/itemCell76/btn_icon,1,1.000/1.000/1.000/0.000,0:0,0:0,90.000/92.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,90.000/92.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,-2045336433968031077,1965964410971715638,-787143586316466668,UnityEngine.UI.Button,UI_BattleItemFly/root_item/itemCell76/btn_item_seach,UI_BattleItemFly/root_item/itemCell76/btn_item_seach,0:7198644962613423644,7198644962613423644,1965964410971715638,UnityEngine.UI.Image,-7030229213176759517,UI_BattleItemFly/root_item/itemCell76/btn_item_seach,UI_BattleItemFly/root_item/itemCell76/btn_item_seach,1,1.000/1.000/1.000/1.000,6:-5862618822027723571,0:0,29.000/29.000,34.900/34.600,0.500/0.500,0.500/0.500,0.500/0.500,29.000/29.000,34.900/34.600,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,6579181547027122408,-3963883386454400230,-787143586316466668,UnityEngine.UI.Button,UI_BattleItemFly/root_item/itemCell76/btn_jian,UI_BattleItemFly/root_item/itemCell76/btn_jian,0:9071982692227706213,9071982692227706213,-3963883386454400230,UnityEngine.UI.Image,-7030229213176759517,UI_BattleItemFly/root_item/itemCell76/btn_jian,UI_BattleItemFly/root_item/itemCell76/btn_jian,1,1.000/1.000/1.000/0.000,0:38861690050489314,0:0,76.000/76.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,76.000/76.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,-4321019070122475660,3648868978268624805,-787143586316466668,UnityEngine.UI.Button,UI_BattlePreviewTalk/bgBtn/Image,UI_BattlePreviewTalk/bgBtn/Image,0:-8370083516710168744,-8370083516710168744,3648868978268624805,UnityEngine.UI.Image,-7030229213176759517,UI_BattlePreviewTalk/bgBtn/Image,UI_BattlePreviewTalk/bgBtn/Image,1,1.000/1.000/1.000/0.000,0:0,0:0,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,6762227332049985569,-4802641048419693648,-787143586316466668,UnityEngine.UI.Button,UI_BattlePreviewTalk/btn_battle_preview_skip,UI_BattlePreviewTalk/btn_battle_preview_skip,0:-4570824064047230301,-4570824064047230301,-4802641048419693648,UnityEngine.UI.Image,-7030229213176759517,UI_BattlePreviewTalk/btn_battle_preview_skip,UI_BattlePreviewTalk/btn_battle_preview_skip,1,1.000/1.000/1.000/1.000,31:-5850754773779897328,0:0,42.000/42.000,-61.000/278.000,1.000/0.500,1.000/0.500,0.500/0.500,42.000/42.000,-61.000/278.000,1.000/0.500,1.000/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,2498288838079079566,5380526761134903490,-787143586316466668,UnityEngine.UI.Button,UI_BattlePreviewTalk/p_root/btn_next,UI_BattlePreviewTalk/p_root/btn_next,0:-86737477359949776,-86737477359949776,5380526761134903490,UnityEngine.UI.Image,-7030229213176759517,UI_BattlePreviewTalk/p_root/btn_next,UI_BattlePreviewTalk/p_root/btn_next,1,1.000/1.000/1.000/0.000,0:0,0:0,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,false,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,-1753574523016207235,-6204761922383632592,-787143586316466668,UnityEngine.UI.Button,UI_NormalBattle/btn_battle_preview_skip,btn_battle_preview_skip,0:6659074607479796370,6659074607479796370,-6204761922383632592,UnityEngine.UI.Image,-7030229213176759517,UI_NormalBattle/btn_battle_preview_skip,btn_battle_preview_skip,1,1.000/1.000/1.000/1.000,31:-5850754773779897328,0:0,42.000/42.000,-61.000/278.000,1.000/0.500,1.000/0.500,0.500/0.500,42.000/42.000,-61.000/278.000,1.000/0.500,1.000/0.500,0.500/0.500,true,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\battle_ext_prefabs.assetbundle,-5589687183014614586,8146223802809197061,-787143586316466668,UnityEngine.UI.Button,UI_NormalBattle/btn_preivew_touch,btn_preivew_touch,0:-6999585977917270645,-6999585977917270645,8146223802809197061,UnityEngine.UI.Image,-7030229213176759517,UI_NormalBattle/btn_preivew_touch,btn_preivew_touch,1,1.000/1.000/1.000/0.000,6:6617065208850742552,0:0,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,2500.000/2000.000,0.000/0.000,0.500/0.500,0.500/0.500,0.500/0.500,true,original MonoBehaviour Button m_TargetGraphic PPtr from battle_ext_prefabs
