rank,target,missing_ref,trace_hierarchy_path,original_hierarchy_path,rect_area,original_game_object_path_id,original_image_component_path_id,serialized_sprite_file_id,serialized_sprite_path_id,sprite_name,sprite_bundle,sprite_width,sprite_height,sprite_png,clean_unityfs_bundle_path,confidence,unresolved_reason
11,UI_GuildMain,missing#53250,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa9/img_award_cup,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa9/img_award_cup,110004.0,-3252598114399480970,3105804760197985127,1,2648960642312224647,snls_rk_01,download/artsources/uispriteres/uiguild.assetbundle,267,401,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4ef5075c798d10c7\images\S\2648960642312224647_snls_rk_01.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uiguild.assetbundle,confirmed_original_hierarchy_sprite_path_id,
12,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/im_renwu,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/im_renwu,81788.0,5311374483197778198,7661535658388958524,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
13,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/im_renwu,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/im_renwu,81788.0,-691241215710129133,-7473741587805005415,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
14,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/im_renwu,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/im_renwu,81788.0,-3665636266056115981,1073160120404055537,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
15,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/im_renwu,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/im_renwu,81788.0,-1498720210594210032,-7324263219430712440,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
16,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/im_renwu,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/im_renwu,81788.0,1107879907478383770,-1259143832094233990,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
17,UI_GuildMain,,UI_GuildMain_NavigationPrototype/middle/node_gonggao/gongao_bg/gonggaoMask,UI_GuildMain/middle/node_gonggao/gongao_bg/gonggaoMask,51645.0,-4500405948221452493,-1562093612462459316,0,0,,,,,,,unresolved,original_image_m_Sprite_is_null_or_runtime_bound
18,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/lingtu_boxicon,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/lingtu_boxicon,45496.0,7385898848672771670,8130314388469676237,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
19,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_boxicon,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_boxicon,45496.0,3523495003127245068,838369275550143317,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
20,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/box,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/box,45496.0,7419920553171670805,-6313592564178620829,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
21,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/Boxicon,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/Boxicon,45496.0,6867646784647176188,-528654659000156335,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
22,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/Boxicon,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/Boxicon,45496.0,-8596209927765623987,2297512626882702354,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
23,UI_GuildMain,missing#53202,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/box,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/box,45496.0,7218600621631792343,-3007445142961661825,3,7383107375737598934,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,217,151,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
24,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/node_tips/itembg,44400.0,8648117756762541130,543811697506363445,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
25,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/node_tips/itembg,44400.0,-265483853608710420,-6452441706358510910,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
26,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/node_tips/itembg,44400.0,-8528779994581576515,-1650332180225155923,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
27,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/node_tips/itembg,44400.0,8791831468353300689,8487575678715909090,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
28,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/node_tips/itembg,44400.0,-5151736778831543577,5935846281245643360,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
29,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/node_tips/itembg,44400.0,188446176978282724,-2304623588718808965,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
30,UI_GuildMain,missing#46800,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/node_tips/itembg,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/node_tips/itembg,44400.0,-2081498272109943714,1341215271211028756,3,-2202370261854215715,T_qipao,download/artsources/uispriteres/uicommonother.assetbundle,72,62,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\-2202370261854215715_T_qipao.png,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\artsources\uispriteres\uicommonother.assetbundle,confirmed_original_hierarchy_sprite_path_id,
