bundle,class,export_dir,parse_status,object_count,used_offset,size,type_counts,image_count,image_samples
download/ui/uifont/japanese/tmp/epm_hui_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_27bd0bb79e746ccb,,7,0,36162,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 3}",3,images/T/2055889654376476100_EPM Atlas.png;images/T/2239213950612371125_EPM Atlas 1.png;images/T/2452541240205506080_EPM Atlas 1.png
download/ui/uifont/japanese/tmp/epm_lan_53_135_220_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_a36335e3df60f7a3,,5,0,47022,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-4683204463025725205_EPM Atlas.png
download/ui/uifont/japanese/tmp/epm_lu_65_105_36_0.4_0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_cefa4a104d5eabd2,,5,0,45792,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/1846144271120189792_EPM Atlas.png
download/ui/uifont/japanese/tmp/epm_shenzong_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_470ed545d84c2ec9,,5,0,230646,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/6551403151277096646_EPM Atlas.png
download/ui/uifont/japanese/tmp/epm_wuxiaoguo_dongtai.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_3e03b4fcac79cfe3,,5,0,677944,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-3130024980044596905_EPM Atlas.png
download/ui/uifont/japanese/tmp/epm_zi_179_113_213_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_af016df302cd374f,,5,0,15596,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/8722480494409350947_EPM Atlas.png
download/ui/uifont/japanese/tmp/epm_zong.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_ac7b3da24355ac62,,5,0,12696,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-1357322107979240204_EPMGOBLD Atlas.png
download/ui/uifont/japanese/tmp/ksw.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2f16f9d5adbfbb7e,,8,0,1512756,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 2, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",1,images/T/1140217454483376603_Ksw Atlas.png
download/ui/uifont/japanese/tmp/ksw_bai_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_98bfba1590e9c547,,8,0,1459460,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 2, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",1,images/T/-404422236397469705_Ksw Atlas.png
download/ui/uifont/japanese/tmp/ksw_fen_245_105_120_0.4_0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_3033f416c988cde6,,8,0,1398445,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 2, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",1,images/T/-3912906508495224436_Ksw Atlas.png
download/ui/uifont/japanese/tmp/ksw_hei_0.2_0.2 1.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_9414d2bed6d11478,,9,0,1560712,"{""AssetBundle"": 1, ""Font"": 1, ""Material"": 2, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 3}",2,images/T/-6659528504576205313_Ksw Atlas 1.png;images/T/2369568226278569391_Ksw Atlas.png
download/ui/uifont/japanese/tmp/num.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2e178048ca87ecfc,,6,0,33163,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",2,images/T/-3487941317702978074_num Atlas.png;images/T/-5932598133172371263_num Atlas 1.png
download/ui/uifont/japanese/tmp/num_bai_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_694ab55d2b8f3305,,5,0,38738,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-3335628805665746390_num Atlas.png
download/ui/uifont/japanese/tmp/num_cheng_242_180_66_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_458b722bcca74c3f,,5,0,27222,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/1695293066557692972_num Atlas.png
download/ui/uifont/japanese/tmp/num_fen_245_105_120_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e7753b1ec6cc6dfe,,5,0,22744,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/3915198241723981842_num Atlas.png
download/ui/uifont/japanese/tmp/num_hei.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_442f53a84e8fe235,,5,0,31171,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-7008616762836268600_num Atlas.png
download/ui/uifont/japanese/tmp/num_hei_0.1_0.1.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_0cd01a203b7142bf,,6,0,38057,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",2,images/T/-218517122719596319_num Atlas 1.png;images/T/7813573504027362726_num Atlas.png
download/ui/uifont/japanese/tmp/num_hong_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_92178a33bc7fb6d8,,5,0,18897,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/7834491741585002578_num Atlas.png
download/ui/uifont/japanese/tmp/num_hui_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_866e870e15c4fd3d,,5,0,34550,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-2865219205974992217_num Atlas.png
download/ui/uifont/japanese/tmp/num_lan_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_cce59d8791b77cdd,,5,0,15843,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/3535221404351223431_num Atlas.png
download/ui/uifont/japanese/tmp/num_lu_65_105_36_0.4_0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2e026021210500aa,,5,0,24167,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-794790607136482623_num Atlas.png
download/ui/uifont/japanese/tmp/num_shenzong.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_0bb6f152a4130e07,,5,0,22752,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/5204083057489152427_num Atlas.png
download/ui/uifont/japanese/tmp/num_touying_jianbian.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_7b0329ac2f9ed048,,5,0,26816,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-1440682859603890665_num Atlas.png
download/ui/uifont/japanese/tmp/num_zong_127_66_11_0.4_0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_ea23454460177b74,,5,0,24960,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-3582420524152473814_num Atlas.png
download/ui/uifont/japanese/tmp/riyu.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_4662ff1cbab15a47,,5,0,503992,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-1980486418211286436_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_127_66_11__0.4__0.4.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_2edd871719761440,,5,0,117238,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/8181135218437613371_riyushufazi Atlas.png
download/ui/uifont/japanese/tmp/riyu_222_130_2_shenzong_touying.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_21764f5615090260,,6,0,51979,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",2,images/T/-1064474195494245066_riyu_222_130_2_shenzong_touying Atlas.png;images/T/-5766418445690109065_riyu Atlas 1.png
download/ui/uifont/japanese/tmp/riyu_baibian_0.2_0.2_1.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_9e4d0bbab49e0e5f,,7,0,868428,"{""AssetBundle"": 1, ""Material"": 2, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 2}",2,images/T/1606877442581059197_riyu_baibian_0.2_0 Atlas.png;images/T/8776376539229871138_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_cheng_254_178_18.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_f053038e9a0487b4,,5,0,406589,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/7843177304197918688_riyushufazi Atlas.png
download/ui/uifont/japanese/tmp/riyu_hei_baibian.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_5959134051f0948d,,5,0,367176,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/6580150005846826624_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_hei_wubian.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_c474edd322dfd485,,5,0,1980390,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-222889553987816457_riyu Atlas.png
download/ui/uifont/japanese/tmp/riyu_hong_226_69_52_0.2_0.2.assetbundle,tmp_font_asset,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e25b66e9d97b2916,,5,0,149106,"{""AssetBundle"": 1, ""Material"": 1, ""MonoBehaviour"": 1, ""MonoScript"": 1, ""Texture2D"": 1}",1,images/T/-800552115975046683_riyu Atlas.png
