relative_path,size,detected_spine_binary_version
Assets/RestoreData/hero1001_spine_source/battleprefabandres_1001_reference/1001.skel.bytes,681766,4.0.64
Assets/RestoreData/hero1001_spine_source/paintingprefabandres_1001/Painting_1001.skel.bytes,598675,4.0.56
Assets/RestoreData/hero1001_spine_source/paintingprefabandres_1001/Painting_1001_Back.skel.bytes,22847,4.0.56
Assets/RestoreData/hero1001_spine_source/paintingprefabandres_1001/Painting_1001_Front.skel.bytes,24512,4.0.56
Assets/RestoreData/hero1001_spine_source/paintingprefabandres_1001/SP_heroname_1001.skel.bytes,5166,4.0.47
