shared_material_path_id,font_key,bundle,material_name,property_type,property_name,value,scale,offset
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_ScaleX,1.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_ScaleY,1.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_ShaderFlags,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_Sharpness,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_SpecularPower,2.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_Stencil,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_StencilComp,8.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_StencilOp,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_StencilReadMask,255.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_StencilWriteMask,255.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_TextureHeight,2048.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_TextureWidth,1024.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_UnderlayDilate,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_UnderlayOffsetX,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_UnderlayOffsetY,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_UnderlaySoftness,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_VertexOffsetX,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_VertexOffsetY,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_WeightBold,0.75,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,float,_WeightNormal,0.0,,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_ClipRect,"-32767.0,-32767.0,32767.0,32767.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_EnvMatrixRotation,"0.0,0.0,0.0,0.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_FaceColor,"1.0,1.0,1.0,1.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_GlowColor,"0.0,1.0,0.0,0.5",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_MaskCoord,"0.0,0.0,32767.0,32767.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_OutlineColor,"1.0,1.0,1.0,1.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_ReflectFaceColor,"0.0,0.0,0.0,1.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_ReflectOutlineColor,"0.0,0.0,0.0,1.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_SpecularColor,"1.0,1.0,1.0,1.0",,
3932716197974622303,EPM,download/ui/uifont/japanese/font_material_epm/epm_bai_0.2_0.2.assetbundle,EPM_bai_0.2_0.2,color,_UnderlayColor,"0.0,0.0,0.0,0.5",,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,texture,_BumpMap,0,"1.0,1.0","0.0,0.0"
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,texture,_Cube,0,"1.0,1.0","0.0,0.0"
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,texture,_FaceTex,0,"1.0,1.0","0.0,0.0"
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,texture,_MainTex,5218067429375919017,"1.0,1.0","0.0,0.0"
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,texture,_OutlineTex,0,"1.0,1.0","0.0,0.0"
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_Ambient,0.5,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_Bevel,0.5,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BevelClamp,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BevelOffset,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BevelRoundness,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BevelWidth,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BumpFace,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_BumpOutline,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ColorMask,15.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_CullMode,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_Diffuse,0.5,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_FaceDilate,0.15000000596046448,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_FaceUVSpeedX,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_FaceUVSpeedY,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_GlowInner,0.05000000074505806,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_GlowOffset,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_GlowOuter,0.05000000074505806,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_GlowPower,0.75,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_GradientScale,10.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_LightAngle,3.1415998935699463,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_MaskSoftnessX,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_MaskSoftnessY,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_OutlineSoftness,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_OutlineUVSpeedX,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_OutlineUVSpeedY,0.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_OutlineWidth,0.15000000596046448,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_PerspectiveFilter,0.875,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_Reflectivity,10.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ScaleRatioA,0.8999999761581421,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ScaleRatioB,0.5962499380111694,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ScaleRatioC,0.5962499380111694,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ScaleX,1.0,,
-3548449482811076398,EPM,download/ui/uifont/japanese/font_material_epm/epm_hei_0.1_0.1.assetbundle,EPM_hei_0.1_0.1,float,_ScaleY,1.0,,
