variant,kind,name,path,activeInHierarchy,enabled,showMaskGraphic,raycastTarget,material,shader,stencil,stencilComp,stencilOp
"default_root_route_state","RectMask2D","Viewport__4940853044098671873","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/leftbannerNode__-5279177717507701307/huodong3__-6610370912035301878/Viewport__4940853044098671873",True,True,False,False,,,0,0,0
"default_root_route_state","RectMask2D","Viewport__-5551774702119383430","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/leftbannerNode__-5279177717507701307/showBannerDescNode__-1394984059021818146/node_actbanner__7066971179164710645/ScrollViewActBanner__4115011983198084924/Viewport__-5551774702119383430",False,True,False,False,,,0,0,0
"default_root_route_state","RectMask2D","Viewport__-5811453999897481428","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface__5568884429252053541/left__-7709903567246479490/liaotian__5395517689795111462/Viewport__-5811453999897481428",True,True,False,False,,,0,0,0
"oldroot_home_safe_candidate","RectMask2D","Viewport__4633266571554794787","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/huodong3__-5155750984123387295/Viewport__4633266571554794787",True,True,False,False,,,0,0,0
"oldroot_home_safe_candidate","RectMask2D","Viewport__-5205119580147920772","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/right__-7547578691690053275/liaotian__1445380050083804015/Viewport__-5205119580147920772",True,True,False,False,,,0,0,0
