rank,hierarchy_path,active_in_hierarchy,sibling_index,component_type,mono_behaviour_types,missing_script_count_on_object,canvas_sorting_order,canvas_override_sorting,canvas_render_mode,screen_min_x,screen_min_y,screen_max_x,screen_max_y,screen_pixel_area,screen_whiteish_pixel_count,screen_whiteish_ratio,sprite_name,sprite_local_id,sprite_texture_name,sprite_texture_width,sprite_texture_height,sprite_rect_x,sprite_rect_y,sprite_rect_width,sprite_rect_height,material_name,material_local_id,shader_name,render_queue,material_for_rendering_name,material_for_rendering_shader_name,color,alpha,raycast_target,image_type,preserve_aspect,fill_center,fill_method,fill_amount,fill_clockwise,fill_origin,pixels_per_unit_multiplier,reason_class,original_hierarchy_path,was_missing_before_join,join_missing_ref,join_sprite_name,join_sprite_bundle,join_sprite_png,join_confidence,final_reason_class,source_png_exists,source_png_width,source_png_height,source_alpha_ratio,source_opaque_ratio,source_opaque_white_ratio,source_bright_alpha_ratio,source_avg_rgba_alpha_pixels
21,UI_GuildMain_NavigationPrototype/right/btn_5,1,4,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,809.667,413.667,881,473,4380,4380,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/right/btn_5,0,,,,,,no_sprite,,,,,,,,
22,UI_GuildMain_NavigationPrototype/right/btn_2,1,1,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,655.667,413.667,727,473,4320,4320,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/right/btn_2,0,,,,,,no_sprite,,,,,,,,
23,UI_GuildMain_NavigationPrototype/right/btn_3,1,2,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,577.667,413.667,649,473,4320,4320,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/right/btn_3,0,,,,,,no_sprite,,,,,,,,
24,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/Boxicon,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,-16.972,109.2,71.761,178.133,5040,4200,0.8333,wjczbx3,1969746902,,0,0,0,0,242,188,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/Boxicon,1,missing#53202,wjczbx3,download/artsources/uispriteres/uicommonother.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\bundles\b_e9b9d84959e15638\images\S\7383107375737598934_wjczbx3.png,confirmed_original_hierarchy_sprite_path_id,resolved_sprite_but_white_render_or_covered,1,217,151,0.5354,0.4870,0.0379,0.0619,"159.8,164.1,162.5,237.6"
25,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/p_open/btn_titan_set,1,0,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,939.928,84.2,1061.528,117.8,4182,4182,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/p_open/btn_titan_set,0,,,,,,no_sprite,,,,,,,,
26,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/bg_name/im_name,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,198.395,191.267,232.395,304.6,3990,3990,1.0000,lsmj_rukou1,-2015920294,,0,0,0,0,51,170,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/bg_name/im_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
27,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/Boxicon,1,3,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,665.241,117.12,735.281,172.88,3976,3976,1.0000,IC_baoxiang_6,1138191010,,0,0,0,0,103,82,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/Boxicon,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
28,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/btn_fsb_box,1,7,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,834.575,117.12,904.615,172.88,3976,3976,1.0000,IC_baoxiang_6,1138191010,,0,0,0,0,103,82,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/btn_fsb_box,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
29,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/bg_name/im_name,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,1043.728,194.333,1076.395,309.667,3944,3944,1.0000,T_biaoti_baoxiang,-1112066410,,0,0,0,0,49,173,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/bg_name/im_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
30,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/bg_name/im_name,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,367.728,186,399.061,304,3894,3894,1.0000,huachuanbisairukouii_mingzi,1821845091,,0,0,0,0,47,177,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/bg_name/im_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
31,UI_GuildMain_NavigationPrototype/right/btn_1,1,0,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,739,413.667,798.333,473,3600,3600,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/right/btn_1,0,,,,,,no_sprite,,,,,,,,
32,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/bg_name,1,1,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,701.928,206.667,734.595,306.667,3434,3434,1.0000,T_biaoti_zhengba,1540218944,,0,0,0,0,49,150,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/bg_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
33,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/bg_name/im_name,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,537.061,205.667,568.395,304.333,3200,3200,1.0000,T_biaoti_hezhan,-1838336987,,0,0,0,0,47,148,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/bg_name/im_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
34,UI_GuildMain_NavigationPrototype/left/btn_zhaomu,1,3,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,177.533,419.367,229.133,472.767,2862,2862,1.0000,icon_zm,1277757783,,0,0,0,0,79,81,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/left/btn_zhaomu,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
35,UI_GuildMain_NavigationPrototype/left/bg_ditu,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,-130,425.333,99.333,470.667,4600,2668,0.5800,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,1,Sliced,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/left/bg_ditu,0,,,,,,no_sprite,,,,,,,,
36,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/new_no_open/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,70.728,126.467,153.395,154.2,2436,2436,1.0000,BG_zidi_fen,-1402127767,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/new_no_open/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
37,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/new_no_open/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,240.728,123.8,323.395,151.533,2436,2436,1.0000,BG_zidi_hong,-1069296546,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/new_no_open/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
38,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/p_curr_state/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,582.995,123.533,665.661,151.267,2436,2436,1.0000,BG_zidi_hong,-1069296546,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/p_curr_state/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
39,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/p_curr_state/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,749.728,124.4,832.395,152.133,2436,2436,1.0000,BG_zidi_zi,14166081,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/p_curr_state/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
40,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_status/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,917.555,124.267,1000.221,152,2352,2352,1.0000,BG_zidi_lan,1148199065,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_status/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
41,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/new_no_open/bg_msg,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,411.128,124.267,493.795,152,2324,2324,1.0000,BG_zidi_cheng,614004195,,0,0,0,0,155,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/new_no_open/bg_msg,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
42,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/bg_name/im_name,1,0,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,28.728,210,60.728,308,3234,1862,0.5758,T_biaotizi_tongmengshilian,-905625431,,0,0,0,0,48,147,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/bg_name/im_name,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
43,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/starts/im_start4,1,3,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,859.661,185.4,888.995,220.067,1080,1080,1.0000,T_xingxing,-1580871759,,0,0,0,0,44,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/starts/im_start4,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
44,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/starts/im_start2,1,1,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,604.061,268.333,633.395,303,1050,1050,1.0000,T_xingxing,-1580871759,,0,0,0,0,44,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/starts/im_start2,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
45,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/starts/im_start4,1,3,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,708.061,170.333,737.395,205,1050,1050,1.0000,T_xingxing,-1580871759,,0,0,0,0,44,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/starts/im_start4,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
46,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/starts/im_start2,1,1,UnityEngine.UI.Image,UnityEngine.UI.Image,0,0,0,WorldSpace,773.395,268.333,802.728,303,1050,1050,1.0000,T_xingxing,-1580871759,,0,0,0,0,44,52,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa7/starts/im_start2,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
47,UI_GuildMain_NavigationPrototype/left/bg_ditu/btn_biangeng,1,4,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,46.067,444.333,90.067,465,945,945,1.0000,BTN_biangeng,-932490793,,0,0,0,0,66,31,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/left/bg_ditu/btn_biangeng,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
48,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/btn_titan_help,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,1046.861,306.733,1074.195,334.067,841,841,1.0000,BTN_xiangqing,-1139758770,,0,0,0,0,41,41,Default UI Material,0,UI/Default,3000,"Stencil Id:1, Op:Keep, Comp:Equal, WriteMask:0, ReadMask:1, ColorMask:All AlphaClip:False (Default UI Material)",UI/Default,FFFFFFFF,1,1,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/btn_titan_help,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
49,UI_GuildMain_NavigationPrototype/left/btn_shezhi,1,4,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,132.667,434,159.333,463.333,840,840,1.0000,,0,,0,0,0,0,0,0,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,no_sprite,UI_GuildMain/left/btn_shezhi,0,,,,,,no_sprite,,,,,,,,
50,UI_GuildMain_NavigationPrototype/left/btn_bangzhu,1,6,UnityEngine.UI.Image,UnityEngine.UI.Button;UnityEngine.UI.Image,0,0,0,WorldSpace,103,435,130.333,462.333,812,812,1.0000,BTN_xiangqing,-1139758770,,0,0,0,0,41,41,Default UI Material,0,UI/Default,3000,Default UI Material,UI/Default,FFFFFFFF,1,0,Simple,0,1,Radial360,1,1,0,1,resolved_sprite_but_white_render,UI_GuildMain/left/btn_bangzhu,0,,,,,,resolved_sprite_but_white_render_or_covered,,,,,,,,
