game_object_id,game_object_name,component_path_id,sprite_ref,sprite_name,status,is_button,is_scroll_or_viewport,color_a,width,height,area,risk
723914069151155929,guide_mask,5111270349576856362,0,,empty_sprite_ref,False,False,1.0,1680.0,720.0,1209600.0,transparent_raycast_candidate
-312107174295067971,but_mask,-7451474113452242497,0,,empty_sprite_ref,False,False,0.0,2336.0,405.0,946080.0,transparent_raycast_candidate
-1874286104444283317,UI_touchSpine,5349096810287139907,0,,empty_sprite_ref,False,False,0.0,650.0,400.0,260000.0,transparent_raycast_candidate
3666887709237655095,im_face_icon,-8968548341628809593,0,,empty_sprite_ref,False,False,1.0,147.0,121.0,17787.0,transparent_raycast_candidate
4324639975114061454,boxcollider,90351113586645412,0,,empty_sprite_ref,False,False,0.0,100.0,100.0,10000.0,transparent_raycast_candidate
1020557433455863919,boxcollider,2775031760294743985,0,,empty_sprite_ref,False,False,0.0,100.0,100.0,10000.0,transparent_raycast_candidate
4566947939855793065,im_face_discount,1749674004883235602,0,,empty_sprite_ref,False,False,1.0,152.0,60.0,9120.0,transparent_raycast_candidate
-2559912592050077592,boxcollider,-4472326707640878991,0,,empty_sprite_ref,False,False,0.0,50.0,50.0,2500.0,transparent_raycast_candidate
-3101554582481149407,boxcollider,8244173795739791765,0,,empty_sprite_ref,False,False,0.0,50.0,50.0,2500.0,transparent_raycast_candidate
5291676649343869015,im_red,-7464156570589305479,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-8630391070025743704,im_camp_red_point,-4360419491016178042,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
3276633028993136667,im_redpoint_shangdian,-4058270490838213390,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
107053886084870299,im_redpoint_shangdian,-3380644203179168224,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-9039256611292683223,im_summonpet_red_point,-2274916727848463490,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
6991431557446896173,im_redpoint_paihangbang,-1838885481662982991,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
8973121217526890602,im_redpoint_haoyou,-732873437702264948,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
7652266912720848910,im_redpoint_line,-469630930395307805,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-3631930301841544542,im_bag_red,2825305936907931376,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-5804646678731109154,im_fuhu_red,5344014755643497001,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
-749611271569501457,im_redpoint_wuyu,6065134314999150609,0,,empty_sprite_ref,False,False,1.0,27.0,27.0,729.0,transparent_raycast_candidate
