font_key,bundle,font_path_id,glyph_index,width,height,bearing_x,bearing_y,advance,rect_x,rect_y,rect_width,rect_height,scale,atlas_index
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2263,38.8125,37.46875,2.59375,31.15625,44.0,1258,641,40,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2295,38.8125,36.640625,2.59375,30.234375,44.0,485,790,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2297,38.8125,37.5625,2.59375,31.15625,44.0,484,930,40,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2323,38.8125,36.640625,2.59375,30.234375,44.0,543,847,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2329,38.8125,32.59375,2.59375,29.875,44.0,779,123,40,33,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2332,38.8125,37.46875,2.59375,31.15625,44.0,836,62,40,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2337,38.8125,37.46875,2.59375,31.15625,44.0,544,732,40,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2338,40.28125,37.203125,-1.5625,30.796875,44.0,550,675,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2339,39.921875,37.078125,-1.203125,30.796875,44.0,544,790,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2340,39.90625,37.203125,-0.953125,30.796875,44.0,603,732,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2342,39.03125,37.109375,-0.078125,30.796875,44.0,602,578,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2344,39.921875,37.203125,-1.203125,30.796875,44.0,610,635,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2348,39.4375,37.109375,-0.078125,30.796875,44.0,661,518,41,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2435,43.171875,37.203125,-0.125,30.796875,44.0,718,459,45,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2437,42.8125,37.203125,0.234375,30.796875,44.0,742,402,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2440,42.734375,37.3125,0.3125,31.0,44.0,1307,183,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2460,43.171875,37.203125,-0.125,30.796875,44.0,661,575,45,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2461,42.84375,37.078125,0.3125,30.796875,44.0,721,516,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2475,37.921875,37.203125,0.796875,30.796875,44.0,782,459,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2476,37.484375,37.078125,1.234375,30.796875,44.0,767,294,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2484,37.484375,37.109375,1.234375,30.796875,44.0,823,236,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2492,38.4375,37.203125,1.484375,30.796875,44.0,825,175,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2500,37.921875,37.203125,0.796875,30.796875,44.0,805,351,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2501,37.484375,38.234375,1.234375,30.796875,44.0,824,293,38,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2503,37.796875,37.203125,1.15625,30.796875,44.0,880,232,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2504,37.71875,37.3125,1.234375,31.0,44.0,883,120,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2512,37.6875,37.640625,1.078125,30.796875,44.0,895,10,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2516,38.4375,37.203125,1.484375,30.796875,44.0,543,904,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2523,38.8125,32.0,2.59375,29.28125,44.0,895,67,40,33,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2524,38.8125,36.75,2.59375,30.4375,44.0,952,10,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2533,39.0,38.515625,2.4375,30.4375,44.0,543,961,40,40,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2534,38.8125,36.75,2.59375,30.4375,44.0,601,904,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2536,42.96875,37.203125,0.078125,30.796875,44.0,602,847,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2538,42.96875,37.203125,0.078125,30.796875,44.0,604,789,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2544,42.96875,37.640625,0.078125,30.796875,44.0,602,961,44,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2559,38.8125,32.0,2.59375,29.28125,44.0,883,177,40,33,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2560,38.8125,36.75,2.59375,30.4375,44.0,660,904,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2566,38.8125,36.71875,2.59375,30.4375,44.0,940,119,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2567,38.8125,36.890625,2.59375,30.484375,44.0,665,846,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2569,38.8125,36.84375,2.59375,30.4375,44.0,665,961,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2579,38.0,37.203125,0.953125,30.796875,44.0,719,903,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2580,38.0,37.109375,0.953125,30.796875,44.0,724,960,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2592,37.765625,37.59375,0.953125,30.796875,44.0,662,692,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2594,38.0,37.203125,0.953125,30.796875,44.0,670,632,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2600,38.8125,36.890625,2.59375,30.484375,44.0,725,573,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2601,38.8125,36.75,2.59375,30.4375,44.0,1262,852,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2603,38.8125,36.59375,2.59375,30.28125,44.0,667,749,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2611,38.8125,36.84375,2.59375,30.4375,44.0,720,689,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2612,38.8125,36.59375,2.59375,30.28125,44.0,728,630,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2614,38.8125,36.84375,2.59375,30.4375,44.0,724,806,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2617,38.8125,36.75,2.59375,30.4375,44.0,726,746,40,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2624,37.84375,37.203125,0.875,30.796875,44.0,779,687,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2629,37.921875,37.203125,0.796875,30.796875,44.0,777,863,39,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2631,37.796875,37.203125,1.15625,30.796875,44.0,783,803,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2632,37.71875,37.3125,1.234375,31.0,44.0,785,744,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2635,37.484375,37.921875,1.234375,31.0,44.0,1139,623,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2636,37.484375,37.203125,1.234375,30.796875,44.0,782,920,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2637,37.484375,37.109375,1.234375,30.796875,44.0,1434,746,38,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2643,43.8125,37.203125,-0.765625,30.796875,44.0,835,860,45,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2644,43.46875,38.234375,-0.3125,30.796875,44.0,840,801,45,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2645,43.359375,37.203125,-0.3125,30.796875,44.0,1377,689,45,38,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2651,43.359375,37.109375,-0.3125,30.796875,44.0,784,516,45,38,1.0,0
