target,hierarchy_path,game_object_local_id,image_component_local_id,active_in_hierarchy,sibling_index,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,pivot_x,pivot_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,local_scale_x,local_scale_y,local_scale_z,rect_width,rect_height,rect_area,sprite_null,sprite_name,sprite_local_id,sprite_reference_string,material_name,material_local_id,raycast_target,color,white_no_sprite,cause_class
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong4/node_lock/im_wbg,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,-133,220,28,1,1,1,220,28,6160,1,,0,missing#43136,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong5/node_lock/im_wbg,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,0,-133,220,28,1,1,1,220,28,6160,1,,0,missing#43148,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong7/node_lock/im_wbg,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,-133,220,28,1,1,1,220,28,6160,1,,0,missing#41092,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong8/node_lock/im_wbg,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0,-133,220,28,1,1,1,220,28,6160,1,,0,missing#41092,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/bg_huodong6/im_name,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,81.4,89.5,44,129,1,1,1,44,129,5676,1,,0,missing#43124,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong5/btn_enter_tip,0,0,1,7,0.5,0.5,0.5,0.5,0.5,0.5,-84,146,70,70,1,1,1,70,70,4900,1,,0,missing#41030,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong8/im_dispatch,0,0,1,4,0.5,0.5,0.5,0.5,0.5,0.5,0,-102,103,33,1,1,1,103,33,3399,1,,0,missing#41056,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong3/im_actTip/btn_actHelp,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,95.26,20.5,41,41,1,1,1,41,41,1681,1,,0,missing#41006,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/Scroll View/Viewport/Content/bg_huodong4/im_actTip/btn_actHelp,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,95.26,20.5,41,41,1,1,1,41,41,1681,1,,0,missing#41006,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/bg_huodong1/node_lock/im_suo,0,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,220,-36.1,38,43,0.65,0.65,0.65,38,43,1634,1,,0,missing#41086,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/bg_huodong2/node_lock/im_suo,0,0,0,1,0.5,0.5,0.5,0.5,0.5,0.5,220,-36.1,38,43,0.65,0.65,0.65,38,43,1634,1,,0,missing#41086,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_AdventureInterface,UI_AdventureInterface_NavigationPrototype/center/bg_huodong6/node_lock/im_suo,0,0,0,2,0.5,0.5,0.5,0.5,0.5,0.5,0,-161,38,43,0.65,0.65,0.65,38,43,1634,1,,0,missing#41086,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/Image,0,0,1,4,0.5,0.5,0.5,0.5,0.5,0,0,-289,1700,161,1,1,1,1700,161,273700,1,,0,missing#53252,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa1/bg_ditu,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#49778,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/bg_ditu,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53218,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/bg_ditu,0,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53260,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa5/bg_ditu,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,4,-4,267,412,1,1,1,267,412,110004,1,,0,missing#53270,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
