evidence_kind,target,hierarchy_path,path_id,game_object_id,game_object_name,active_self,active_chain,component_path_id,sprite_name,sprite_status,color_a,asset_path,source_path,bundle,line,excerpt,reason
prefab_node,bg_shiyongzhong,UI_xuanzebeijing(379602402153493775)/middle(-4088659148756985630)/hengxiang(-6373229912627124577)/Viewport(-3362254963943026914)/Content(-5779106439612760069)/xingxiang1(6928105957701392740)/p_select(-584160656960843825)/bg_shiyongzhong(-2965417456278775052),-2965417456278775052,-2735557736518508753,bg_shiyongzhong,True,True,-6560769536603412764,BG_wave,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_3767306702705834126_BG_wave.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/3767306702705834126_BG_wave.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg_mohuzhezhao,UI_VolumeSet(-2676247903786434401)/bg_mohuzhezhao(-2921412104011114189),-2921412104011114189,5513443417071682125,bg_mohuzhezhao,True,True,309288685781546675,,empty_sprite_ref,0.47058823704719543,,,,,,prefab hierarchy/image state relevant to current black capture
prefab_node,spine_root,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_14(-7919623630181505348)/spine_root(-2876765366052720072),-2876765366052720072,-7712640153078420108,spine_root,True,True,,,,,,,download/ui/uiprefabandres/maininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,wanfaBgImg,UI_MainInterface(5568884429252053541)/right(6922878451781464554)/node_middle(9056630568254389742)/UI_Main_wanfa_item_1(51920382737909704)/wanfaBgImg(-2847822897649166745),-2847822897649166745,3425635656408917066,wanfaBgImg,True,True,2987243048703540653,zhuye_maoxian,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_-1459155864645330874_zhuye_maoxian.png,extracted/unity/bundles/b_3d571cf9b531ccfb/images/S/-1459155864645330874_zhuye_maoxian.png,download/artsources/uispriteres/uimaininterface2.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg_jingyan,UI_MainInterface(5568884429252053541)/left(-7709903567246479490)/bg_juese(8924767933396413025)/bg_jingyan(-2773496565854113313),-2773496565854113313,-7637271781091746491,bg_jingyan,True,True,-5853357491132085241,zhuye_jindu1,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface2/fid11_5224562917610092977_zhuye_jindu1.png,extracted/unity/bundles/b_3d571cf9b531ccfb/images/S/5224562917610092977_zhuye_jindu1.png,download/artsources/uispriteres/uimaininterface2.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,UI_heroSpine,UI_MainInterface_old(2475216337245998118)/UI_heroSpine(-2739654541028205496),-2739654541028205496,2247224239628523787,UI_heroSpine,True,True,-6756223837567446444,,empty_sprite_ref,0.0,,,,,,prefab hierarchy/image state relevant to current black capture
prefab_node,heroEvent,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/liaotian(1445380050083804015)/Viewport(-5205119580147920772)/Content(4423139322027542649)/heroEvent(-2712219505218864606),-2712219505218864606,5945636773901915968,heroEvent,True,True,,,,,,,download/ui/uiprefabandres/maininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bgBtn,UI_AccountTransfer(-8605903632453188793)/bgBtn(-2677669661497995812),-2677669661497995812,2426403314214092676,bgBtn,True,True,,,,,,,download/ui/uiprefabandres/maininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,im_bg,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/node_act_btn(-2702129779362243929)/btn_act_1(-5881528278310961717)/im_bg(-2624994378140843125),-2624994378140843125,8502819214648992497,im_bg,True,True,-4349802599155087523,mainpage_BTN_bg,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uicommonother/fid1_-1182126779076344239_mainpage_BTN_bg.png,extracted/unity/bundles/b_e9b9d84959e15638/images/S/-1182126779076344239_mainpage_BTN_bg.png,download/artsources/uispriteres/uicommonother.assetbundle,,,prefab hierarchy/image state relevant to current black capture
prefab_node,bg,UI_MainInterface_old(2475216337245998118)/right(-7547578691690053275)/liaotian(1445380050083804015)/p_chat_private(-3796294102302663824)/bg(-2575196934417119951),-2575196934417119951,7637504265638796607,bg,True,True,-1476704404442764361,chat_mainpage_title5,ready,1.0,Assets/RestoredSprites/maininterface/download_artsources_uispriteres_uimaininterface/fid3_-1725140174272729550_chat_mainpage_title5.png,extracted/unity/bundles/b_3c369578efb6ef62/images/S/-1725140174272729550_chat_mainpage_title5.png,download/artsources/uispriteres/uimaininterface.assetbundle,,,prefab hierarchy/image state relevant to current black capture
