blocker_id,path_hint,source_kind,source,bundle,script_name,match_count,runtime_near_count,confidence,unresolved_reason,matched_terms,preview
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-4998461180519599919_CSGuildWarManager_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,CSGuildWarManager,2,0,medium,keyword match only,right,"L89:ModulesInit.ProcedureNormalBattle.SetRightInfo(e.head,nil,e.name,e.level) | L112:ModulesInit.ProcedureNormalBattle.SetRightInfo(e.headId,t,e.name,e.level)"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\7110822757496889974_GuildTerritoryMgr_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,GuildTerritoryMgr,1,0,medium,keyword match only,right,"L668:ModulesInit.ProcedureNormalBattle.SetRightInfo(nil,o,t,0)"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\6579110954570338396_GuildTrialsMgr_security_xor_raw.lua,download/xlualogic/modules/guildtrials.assetbundle,GuildTrialsMgr,1,0,medium,keyword match only,right,"L447:ModulesInit.ProcedureNormalBattle.SetRightInfo(h,nil,i,0)"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\4758199554370105319_UI_GuildGiftView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildGiftView,1,0,medium,keyword match only,right,"L445:priorPageArr={EHintPageDir.Right},"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-7771212120794852774_UI_GuildQuestView_security_xor_raw.lua,download/xlualogic/modules/guild.assetbundle,UI_GuildQuestView,1,0,medium,keyword match only,right,"L56:GameTools:ChangeSkeletonGraphic(t:Find(""right/spine""),""Assets/Download/RolePrefabsAndRes/StoryPrefabAndRes/1041_1/1041_1.prefab"")"
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-1922553641236455454_UI_GuildTrials_MonsDesc_View_security_xor_raw.lua,download/xlualogic/modules/guildtrials.assetbundle,UI_GuildTrials_MonsDesc_View,2,0,medium,keyword match only,right,L197:RefreshRightDescView() | L199:function RefreshRightDescView()
right_buttons,right/btn_*,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-8618860467627789966_territory_player_airship_security_xor_raw.lua,download/xlualogic/modules/guildterritory.assetbundle,territory_player_airship,2,0,medium,keyword match only,right,"L176:local t=CS.UnityEngine.Vector2.SignedAngle(Vector2.right,Vector2(t.x,t.y))+90 | L212:local n=CS.UnityEngine.Vector2.SignedAngle(Vector2.right,Vector2(n.x,n.y))"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\-6351603197391775840_UI_MainPage_security_xor_raw.lua,,-6351603197391775840_UI_MainPage_security_xor_raw.lua,2,0,medium,keyword match only,box,"L2710:UIUtil.ShowMessageBox( | L2718:buttons=MessageBoxButtons.OKCancel,"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_existing_xlua,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua\412370137018619402_UI_SystemSet_security_xor_raw.lua,,412370137018619402_UI_SystemSet_security_xor_raw.lua,3,0,medium,keyword match only,box,"L231:UIUtil.ShowMessageBox({ | L236:buttons=MessageBoxButtons.OKCancel, | L270:end,UIUtil.ShowMessageBox)"
wanfa_box_icons,wjczbx3 / Boxicon / box,decoded_guild_module,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\decoded\xlua_guildmain_runtime_trace\-4998461180519599919_CSGuildWarManager_security_xor_raw.lua,download/xlualogic/modules/csguildwar.assetbundle,CSGuildWarManager,10,0,medium,keyword match only,box,L306:function e:SendGuildWarNoFitstBoxInfoRequest() | L307:return NetManager.Send(ProtoId.PRT_GUILD_WAR_BOX_REQ) | L309:function e:OnGuildWarNoFirstBoxInfoResponse(e) | L312:self.GuildWarStatusInfo.myBoxes=e.myBoxes | L314:function e:SendGuildWarGetBoxRequest() | L317:function e:OnGuildWarGetBoxResponse(e) | L320:function e:SendGuildWarGetNoFitstBoxRequest() | L321:return NetManager.Send(ProtoId.PRT_GUILD_WAR_BOX_AWARD_REQ)
