font_key,bundle,font_path_id,unicode,unicode_hex,char,glyph_index,scale,element_type
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12356,U+3044,い,850,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12363,U+304B,か,857,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12371,U+3053,こ,865,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12373,U+3055,さ,867,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12377,U+3059,す,871,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12378,U+305A,ず,872,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12383,U+305F,た,877,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12391,U+3067,で,885,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12395,U+306B,に,889,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12398,U+306E,の,892,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12399,U+306F,は,893,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12414,U+307E,ま,908,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12425,U+3089,ら,919,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12428,U+308C,れ,922,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12434,U+3092,を,928,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12450,U+30A2,ア,931,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12461,U+30AD,キ,942,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12465,U+30B1,ケ,946,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12468,U+30B4,ゴ,949,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12471,U+30B7,シ,952,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12474,U+30BA,ズ,955,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12488,U+30C8,ト,969,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12489,U+30C9,ド,970,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12496,U+30D0,バ,977,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12502,U+30D6,ブ,983,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12505,U+30D9,ベ,986,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,12515,U+30E3,ャ,996,1.0,1
