lua_component_path_id,owner_game_object_id,owner_game_object_name,owner_in_main_root,lua_script_path,lua_script_path_id,group_name,com_name,com_type,com_obj_path_id,com_game_object_id,com_game_object_name,com_in_main_root
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,im_beigingRed,5,8227176801329787591,4915317252721957720,im_beigingRed,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,btn_yincang,4,7660679400301769951,2915813541880018923,btn_yincang,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,btn_beijing,4,-5081063114955252591,1846121534783890253,btn_beijing,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,btn_marry,4,5245935438986811296,2201742138246383560,btn_marry,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,btn_qinmi,4,4806904626294743002,-7993040032844102897,btn_qinmi,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,btn_watch,4,4133205024024200070,-8375462091806675529,btn_watch,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,openUnlockTips,3,2102578508593904001,2102578508593904001,,false
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,text_unLockTips,21,3152975774092550836,-4071579860983673736,text_unLockTips,true
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,left_node_face_btn,3,1861898826191704551,1861898826191704551,,false
-8987083808260043621,-883079703027215962,UI_MainInterface,true,/Download/xLuaLogic/Modules/MainInterface/UI_MainPage.bytes,-6351603197391775840,leftNode,im_vip_bg,5,5434348657118164548,-4798860633271772303,im_vip_bg,true
