category,bundle,path_id,name,size,looks_text,output
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,6005624418332267161,Skill21088402,1050,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/6005624418332267161_Skill21088402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,9558945566763425,Skill21088404,1050,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/9558945566763425_Skill21088404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-5788314063382959251,Skill1058301,1049,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-5788314063382959251_Skill1058301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,406606591549597495,Skill1058302,1049,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/406606591549597495_Skill1058302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8284497567530986025,Skill1058303,1049,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8284497567530986025_Skill1058303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1149899504815669449,Skill21025202,1045,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1149899504815669449_Skill21025202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4471807390312562685,Skill21090201,1045,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4471807390312562685_Skill21090201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1946262711279844632,Skill21090202,1045,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1946262711279844632_Skill21090202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5098627175967808405,Skill31025202,1045,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5098627175967808405_Skill31025202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,3905058378267232651,Skill1045303,1041,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/3905058378267232651_Skill1045303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4272865544197413119,Skill21029301,1041,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4272865544197413119_Skill21029301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4275126686873711206,Skill21029302,1041,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4275126686873711206_Skill21029302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,7758834850403342375,Skill21039302,1041,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/7758834850403342375_Skill21039302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1939398728357199169,Skill1030301,1037,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1939398728357199169_Skill1030301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7070174803710569529,Skill21039301,1036,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7070174803710569529_Skill21039301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-6001907169193723830,Skill21085301,1036,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-6001907169193723830_Skill21085301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-2727709091473340710,Skill21085302,1036,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-2727709091473340710_Skill21085302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-5484940348599645332,Skill21085303,1036,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-5484940348599645332_Skill21085303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,8423188565681847864,Skill31041304,1035,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/8423188565681847864_Skill31041304.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8144768625338096299,Skill31105304,1026,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8144768625338096299_Skill31105304.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-4745676717415917753,Skill1017303,1020,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-4745676717415917753_Skill1017303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-3793004613289331400,Skill1050201,1016,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-3793004613289331400_Skill1050201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,8742473672208803163,Skill1029402,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/8742473672208803163_Skill1029402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7734327414067433008,Skill1061402,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7734327414067433008_Skill1061402.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,7555416981592455609,Skill1061404,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/7555416981592455609_Skill1061404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,760564058596209899,Skill31115301,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/760564058596209899_Skill31115301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-4135700070924698543,Skill31115302,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-4135700070924698543_Skill31115302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-8234871666671196362,Skill31115303,1009,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-8234871666671196362_Skill31115303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7552414026159685918,Skill21029304,1007,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7552414026159685918_Skill21029304.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5464248497535689516,Skill1031303,1006,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5464248497535689516_Skill1031303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1152207998564501095,Skill1011303,1004,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1152207998564501095_Skill1011303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,274705277709129820,Skill1046303,1004,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/274705277709129820_Skill1046303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-964828678652298667,Skill21074404,1004,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-964828678652298667_Skill21074404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-6795429497403172384,Skill82006310,1004,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-6795429497403172384_Skill82006310.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4666580175200364075,Skill1063201,1002,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4666580175200364075_Skill1063201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1803143104280273519,Skill1063202,1002,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1803143104280273519_Skill1063202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,763402500425306546,Skill1046302,998,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/763402500425306546_Skill1046302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-471583962450817485,Skill21083201,997,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-471583962450817485_Skill21083201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-1855685142041524412,Skill82008307,992,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-1855685142041524412_Skill82008307.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-5082257764862270845,Skill31108201,991,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-5082257764862270845_Skill31108201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1174896125272091310,Skill31108202,991,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1174896125272091310_Skill31108202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,7893905638616305554,Skill21085202,989,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/7893905638616305554_Skill21085202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7320354136245444219,Skill21074202,987,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7320354136245444219_Skill21074202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7402571256230482020,Skill21012201,986,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7402571256230482020_Skill21012201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5828731275359428133,Skill1911101,984,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5828731275359428133_Skill1911101.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-4360080294413568665,Skill1060301,983,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-4360080294413568665_Skill1060301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4897904720066107219,Skill1060302,983,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4897904720066107219_Skill1060302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,3068141710852232311,Skill1060303,983,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/3068141710852232311_Skill1060303.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,4982779464610887572,Skill31041302,982,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/4982779464610887572_Skill31041302.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-2964152064065454339,Skill31079201,980,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-2964152064065454339_Skill31079201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,1700043304719858687,Skill31079202,980,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/1700043304719858687_Skill31079202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7921120149713717786,Skill82001391,980,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7921120149713717786_Skill82001391.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,9083621107880846586,Skill21039201,979,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/9083621107880846586_Skill21039201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-7436944212133504038,Skill21039202,979,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-7436944212133504038_Skill21039202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-6150537743171425560,Skill21081404,979,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-6150537743171425560_Skill21081404.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,5444417361421711516,Skill1004301,978,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/5444417361421711516_Skill1004301.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,7329477408237025895,Skill21048201,978,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/7329477408237025895_Skill21048201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,-2539227074831294801,Skill21048202,978,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/-2539227074831294801_Skill21048202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,3913195152258860285,Skill31116201,976,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/3913195152258860285_Skill31116201.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,2702025255813598628,Skill31116202,976,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/2702025255813598628_Skill31116202.txt
xlua_battle_script_library,download/xlualogic/modules/battleskillscript.assetbundle,8366163686332804122,Skill81007407,976,True,extracted/unity/bundles/b_f536bba4669e293c/textassets/8366163686332804122_Skill81007407.txt
