category,bundle,path_id,type,name,width,height,output,error
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_e64c8c43e2c1697e/images/T/8501139332677272989_Default-Particle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,1987674333211959751,Texture2D,UIMask,32,32,extracted/unity/bundles/b_e64c8c43e2c1697e/images/T/1987674333211959751_UIMask.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,-4964995076320756520,Texture2D,UISprite,32,32,extracted/unity/bundles/b_e64c8c43e2c1697e/images/T/-4964995076320756520_UISprite.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battle_ext_prefabs.assetbundle,38861690050489314,Sprite,UISprite,32,32,extracted/unity/bundles/b_e64c8c43e2c1697e/images/S/38861690050489314_UISprite.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battlepass_ext_prefabs.assetbundle,-2320101112833093935,Sprite,,,,,Cannot cast ufunc 'solve1' input 1 from dtype('O') to dtype('float64') with casting rule 'same_kind'
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battlepass_ext_prefabs.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_cf8e979cf90f3549/images/T/8501139332677272989_Default-Particle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battlepass_ext_prefabs.assetbundle,1987674333211959751,Texture2D,UIMask,32,32,extracted/unity/bundles/b_cf8e979cf90f3549/images/T/1987674333211959751_UIMask.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battlepass_ext_prefabs.assetbundle,-4964995076320756520,Texture2D,UISprite,32,32,extracted/unity/bundles/b_cf8e979cf90f3549/images/T/-4964995076320756520_UISprite.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/battlepass_ext_prefabs.assetbundle,38861690050489314,Sprite,UISprite,32,32,extracted/unity/bundles/b_cf8e979cf90f3549/images/S/38861690050489314_UISprite.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,-7431777027220039731,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,-6444237063361365871,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,6190329950696543479,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,-3512501800452205025,Texture2D,earth_cloud_2,512,512,extracted/unity/bundles/b_e66f21d388a47f9e/images/T/-3512501800452205025_earth_cloud_2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,-2877869505241176921,Texture2D,earth_cloud_5,512,512,extracted/unity/bundles/b_e66f21d388a47f9e/images/T/-2877869505241176921_earth_cloud_5.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_1.assetbundle,7325209757877776250,Texture2D,earth_cloud_8,512,256,extracted/unity/bundles/b_e66f21d388a47f9e/images/T/7325209757877776250_earth_cloud_8.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_10.assetbundle,-6586807558334380080,Texture2D,biaoqing_qipao,256,64,extracted/unity/bundles/b_da33d3b41c1ebb88/images/T/-6586807558334380080_biaoqing_qipao.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_10.assetbundle,-7066323015518110638,Texture2D,newworld_zhangjieyitongguo,128,128,extracted/unity/bundles/b_da33d3b41c1ebb88/images/T/-7066323015518110638_newworld_zhangjieyitongguo.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_10.assetbundle,-5197632361965616682,Texture2D,newworld_zhuxianzhangjieguang,1024,1024,extracted/unity/bundles/b_da33d3b41c1ebb88/images/T/-5197632361965616682_newworld_zhuxianzhangjieguang.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-4614001075972068757,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_11.assetbundle,-3499471497721176721,Texture2D,gfx_glow_06002,256,256,extracted/unity/bundles/b_13f8d8305599d199/images/T/-3499471497721176721_gfx_glow_06002.png,
