page,detailId,title,characterNameFromTitle,heroDid,localName,matchType,ambiguousCandidates,prefabId,heroDataExists,battleActorBundleExists,roleBigSetPaintingExists,skillBundleExists,battleheadExists,battleheadPath,detailUrl
3,2292045,소녀전쟁 | 사카모토 료마 원화,사카모토 료마,1050,사카모토 료마,exact_name,,1050,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\1148790093044769675_battlehead_Q_1050.png,https://game.naver.com/lounge/girlwars/board/detail/2292045
3,2292040,소녀전쟁 | 오키타 소지 원화,오키타 소지,1048,오키타 소지,exact_name,21048:오키타 소지:exact_name,1048,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-3936754035292874715_battlehead_Q_1048.png,https://game.naver.com/lounge/girlwars/board/detail/2292040
3,2292034,소녀전쟁 | 코바야카와 히데아키 원화,코바야카와 히데아키,1045,코바야카와 히데아키,exact_name,,1045,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-5901131144995531053_battlehead_Q_1045.png,https://game.naver.com/lounge/girlwars/board/detail/2292034
3,2292028,소녀전쟁 | 콘스탄틴 원화,콘스탄틴,1043,콘스탄틴,exact_name,21043:콘스탄틴:exact_name,1043,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-8689529495987468188_battlehead_Q_1043.png,https://game.naver.com/lounge/girlwars/board/detail/2292028
3,2292021,소녀전쟁 | 핫토리 한조 원화,핫토리 한조,1031,핫토리 한조,exact_name,,1031,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-322690414225681081_battlehead_Q_1031.png,https://game.naver.com/lounge/girlwars/board/detail/2292021
4,2292011,소녀전쟁 | 산타 원화,산타,1049,산타,exact_name,21049:산타:exact_name,1049,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2584188696646003869_battlehead1049.png,https://game.naver.com/lounge/girlwars/board/detail/2292011
4,2291981,소녀전쟁 | 클레오파트라 원화,클레오파트라,1040,클레오파트라,exact_name,,1040,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2319065938611380786_battlehead1040.png,https://game.naver.com/lounge/girlwars/board/detail/2291981
4,2291967,소녀전쟁 | 무사시보 벤케이 원화,무사시보 벤케이,1028,무사시보 벤케이,exact_name,,1028,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-5716057865352566895_battlehead_Q_1028.png,https://game.naver.com/lounge/girlwars/board/detail/2291967
4,2274465,소녀전쟁 | 이시다 미츠나리 원화,이시다 미츠나리,1047,이시다 미츠나리,exact_name,,1047,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-6975266840754787333_battlehead1047.png,https://game.naver.com/lounge/girlwars/board/detail/2274465
4,2274434,소녀전쟁 | 메이린 원화,메이린,1039,메이린,exact_name,21039:메이린:exact_name,1039,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-6490612886569945223_battlehead1039.png,https://game.naver.com/lounge/girlwars/board/detail/2274434
