speedline,objectName,exactManifestBundle,assetPath,status,statusReason,resolvedBundle,exactLocalExists,parentBundle,parentLocalExists,parentUnityPyAvailable,parentObjectOrContainerHit,parentMatchingNames,assetPathTextHitCount,exactVersionfileHitCount,parentVersionfileHitCount,yellowAliasNote
pink,pinkspeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/pinkspeedline.assetbundle,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/pinkspeedline/pinkspeedline.prefab,resolved_loadable_local_bundle,"exact child bundle is absent, but source asset path resolves to an object/container in local parent bundle",download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,False,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,True,True,True,pinkspeedline,3,0,2,
red,redspeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/redspeedline.assetbundle,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/redspeedline/redspeedline.prefab,resolved_loadable_local_bundle,"exact child bundle is absent, but source asset path resolves to an object/container in local parent bundle",download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,False,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,True,True,True,redspeedline|redspeedlines02|redspeedlinesshu|redspeedlinesshu1|redspeedlinesxie,11,0,2,
yello,yellospeedline,download/commonprefabsandres/skilleffect/commonskillprefabsandres1/yellospeedline.assetbundle,Assets/Download/CommonPrefabsAndRes/SkillEffect/CommonSkillPrefabsAndRes1/yellospeedline/yellospeedline.prefab,resolved_loadable_local_bundle,"exact child bundle is absent, but source asset path resolves to an object/container in local parent bundle",download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,False,download/commonprefabsandres/skilleffect/commonskillprefabsandres1.assetbundle,True,True,True,yellospeedline|yellospeedline_heng|yellospeedlinesshu,4,0,2,authoritative source spelling is yellospeedline; yellowspeedline probe produced 0 text hits and is not used as an alias
