rootName,rootRectPathId,componentPathId,componentType,scriptKind,gameObjectId,gameObjectName,hierarchyPath,mEnabled,mRenderMode,mOverrideSorting,mSortingOrder,mDepth,mAlpha,mBlocksRaycasts,mInteractable,mRaycastTarget,mMaskable,componentRole,reconstructionStatus,source
UI_Dock,7409970622389811116,7305998168060852351,MonoBehaviour,UnityEngine.UI.Image,5161294325933790303,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi(-8508595273736828006)/bg_ditu(-6764919561489401875),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,8413825318363055243,CanvasRenderer,CanvasRenderer,-6881024946274102864,im_jiantou,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi(-8508595273736828006)/im_jiantou(3305284616206979530),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-2461787837605766385,MonoBehaviour,UnityEngine.UI.Image,-6881024946274102864,im_jiantou,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi(-8508595273736828006)/im_jiantou(3305284616206979530),1,,,,,,,,1,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,8894221684234850736,CanvasRenderer,CanvasRenderer,5211986611953937469,text_message,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi(-8508595273736828006)/text_message(3557758630990146798),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,224586114548149691,CanvasRenderer,CanvasRenderer,5256767050185476651,text_tmp_message,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi(-8508595273736828006)/text_tmp_message(-637086105896227588),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-3196742948981125404,CanvasRenderer,CanvasRenderer,3005640619839704814,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/bg_ditu(-5366794343355021401),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,750576957783304528,MonoBehaviour,UnityEngine.UI.Image,3005640619839704814,bg_ditu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/bg_ditu(-5366794343355021401),1,,,,,,,,0,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-2466413566982616417,CanvasRenderer,CanvasRenderer,5047004975876746154,im_renwu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,338875705855130851,MonoBehaviour,UnityEngine.UI.Image,5047004975876746154,im_renwu,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057),1,,,,,,,,1,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,2147038513254924918,CanvasRenderer,CanvasRenderer,-5461924723088801451,im_biaoqing1,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057)/im_biaoqing1(1834538569224189764),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,5126723210743807760,MonoBehaviour,UnityEngine.UI.Image,-5461924723088801451,im_biaoqing1,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057)/im_biaoqing1(1834538569224189764),1,,,,,,,,1,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-7788770674352686304,CanvasRenderer,CanvasRenderer,5647849939246485792,im_biaoqing2,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057)/im_biaoqing2(6030595119816213301),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-1963995257440390703,MonoBehaviour,UnityEngine.UI.Image,5647849939246485792,im_biaoqing2,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_renwu(-2179817142706244057)/im_biaoqing2(6030595119816213301),1,,,,,,,,1,1,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
UI_Dock,7409970622389811116,-6440917794618947023,CanvasRenderer,CanvasRenderer,2932995640243669782,im_tanhao,UI_Dock(7409970622389811116)/middle(-8466828004930285515)/gongnengrukou(-5389576201289399819)/bg_gongneng(-2565117311671495054)/toogles(-8086237336721494818)/jiarutishi2(8257156722157295232)/im_tanhao(-2768118973865008689),,,,,,,,,,,render_depth_or_raycast_component,source_component_present,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface.assetbundle
