bundle,name,output,pathId,size,source,status,type
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry_dote,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/3403778444496367425_1005_marry_dote.png,3403778444496367425,294x566,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry_dz,extracted/unity/bundles/b_9dd4a303d80bec5b/images/S/3465275288891941851_1005_marry_dz.png,3465275288891941851,232x512,image,indexed,Sprite
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_2,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/3575297024222580856_1005_2.png,3575297024222580856,512x512,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry,extracted/unity/bundles/b_9dd4a303d80bec5b/images/S/4769943511693141536_1005_marry.png,4769943511693141536,232x512,image,indexed,Sprite
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,homepage_underwear_1005,extracted/unity/bundles/b_9dd4a303d80bec5b/images/S/5013873892407844736_homepage_underwear_1005.png,5013873892407844736,233x512,image,indexed,Sprite
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry_dz,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/5412379577107152517_1005_marry_dz.png,5412379577107152517,232x512,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,starHeroName_1005,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/5972182800888265379_starHeroName_1005.png,5972182800888265379,92x146,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry_ring_select,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/6473801716526482946_1005_marry_ring_select.png,6473801716526482946,287x432,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry_ring_select_2,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/7151044648774064856_1005_marry_ring_select_2.png,7151044648774064856,287x432,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,homepage_underwear_1005,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/8752902767489149565_homepage_underwear_1005.png,8752902767489149565,233x512,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,1005_marry,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/9074999295155165373_1005_marry.png,9074999295155165373,232x512,image,indexed,Texture2D
download/roleprefabsandres/rolebigsetpainting/1005.assetbundle,T_ditu_marry_1005,extracted/unity/bundles/b_9dd4a303d80bec5b/images/T/9159474728264371616_T_ditu_marry_1005.png,9159474728264371616,335x152,image,indexed,Texture2D
download/roleprefabsandres/storyprefabandres/1005_4.assetbundle,1005_4,extracted/unity/bundles/b_e3075c4798faeb04/images/T/-4754424371127142452_1005_4.png,-4754424371127142452,1024x512,image,indexed,Texture2D
