category,name,hierarchyPath,activeSelf,activeInHierarchy,siblingIndex,componentTypes,hasButton,buttonInteractable,hasGraphic,graphicRaycastTarget,imageSprite,anchoredPosition,sizeDelta,localScale,note
"uidock_hierarchy","im_zhuangshi__5381602040586132185","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi2__8257156722157295232/im_zhuangshi__5381602040586132185",False,False,4,"CanvasRenderer|Image|RectTransform|RestoreClickLogger",False,False,True,True,"fid3_7073782107816661200_BG_qipao_zhuangshi","399.9,-152.9","26,31","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__-2768118973865008689","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi2__8257156722157295232/im_tanhao__-2768118973865008689",True,True,5,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-2369374275481710243_BG_qipao_tanhao","182.7,-170.7","41,51","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","jiarutishi3__5860586322973793842","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842",True,True,9,"RectTransform",False,False,False,False,,"-167,318","0,0","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","teaming__-6967838406495907012","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012",True,True,0,"RectTransform",False,False,False,False,,"0,0","100,100","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__-5601277332580164703","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/bg_ditu__-5601277332580164703",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","331,-252.1","196,133.9","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__6425223398315563413","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/bg_ditu__-5601277332580164703/im_tanhao__6425223398315563413",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-8787804881480062287_IC_longzhan","23,-41.9","59,62","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_zudui__-3897382138475438474__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/text_tmp_zudui__-3897382138475438474__font_EPM",True,True,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"325.7,-150.2","152,30","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_nandu__8596813886328622871__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/text_tmp_nandu__8596813886328622871__font_EPM",True,True,2,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"309.6,-176.5","152,30","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_nandu_num__-7788508557724702419__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/text_tmp_nandu_num__-7788508557724702419__font_EPM",True,True,3,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"344.4,-177.6","152,30","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_chengyuan__1291580857650774232__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/text_tmp_chengyuan__1291580857650774232__font_EPM",True,True,4,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"305.2,-207.2","152,30","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_chengyuan_num__-4270645848140200385__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/teaming__-6967838406495907012/text_tmp_chengyuan_num__-4270645848140200385__font_EPM",True,True,5,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"376.2,-206.9","152,30","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message__7822949431905523998","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/text_tmp_message__7822949431905523998",True,True,1,"RectTransform",False,False,False,False,,"321.5,-199.8","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__-6153963696786481669","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/text_tmp_message__7822949431905523998/bg_ditu__-6153963696786481669",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","9,-50.7","196,96","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__6836624438484334026","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/text_tmp_message__7822949431905523998/bg_ditu__-6153963696786481669/im_tanhao__6836624438484334026",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-8787804881480062287_IC_longzhan","23,-41.9","59,62","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message (1)__8573568887392841669__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi3__5860586322973793842/text_tmp_message__7822949431905523998/text_tmp_message (1)__8573568887392841669__font_EPM",True,True,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,0","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","jiarutishi4__-4420725230801320258","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi4__-4420725230801320258",True,True,10,"RectTransform",False,False,False,False,,"-136,325","0,0","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message__-8770491101668313108","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi4__-4420725230801320258/text_tmp_message__-8770491101668313108",True,True,0,"RectTransform",False,False,False,False,,"640,-215","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__-8610242515484149701","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi4__-4420725230801320258/text_tmp_message__-8770491101668313108/bg_ditu__-8610242515484149701",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","9,-50.7","207.1,96","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__6954391396182994231","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi4__-4420725230801320258/text_tmp_message__-8770491101668313108/bg_ditu__-8610242515484149701/im_tanhao__6954391396182994231",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-1663854595147985003_IC_bxn","23,-34.2","66,40","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message (1)__-46577470151855028__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi4__-4420725230801320258/text_tmp_message__-8770491101668313108/text_tmp_message (1)__-46577470151855028__font_EPM",True,True,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,0","170.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","jiarutishi5__-3779900899960565989","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989",True,True,11,"RectTransform",False,False,False,False,,"2,477","0,0","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message__15306595334817247","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message__15306595334817247",False,False,0,"RectTransform",False,False,False,False,,"321.5,-199.8","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__3555221944896572245","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message__15306595334817247/bg_ditu__3555221944896572245",True,False,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","9,-50.7","196,96","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__1473444616177330544","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message__15306595334817247/bg_ditu__3555221944896572245/im_tanhao__1473444616177330544",True,False,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-694878043922505322_txzb_jiaobiao","20,-36","29,41","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message (1)__3425892045343918536__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message__15306595334817247/text_tmp_message (1)__3425892045343918536__font_EPM",True,False,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,0","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message2__-3365026156863845046","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message2__-3365026156863845046",True,True,1,"RectTransform",False,False,False,False,,"152.5,-197.5","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__-1419856986872822225","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message2__-3365026156863845046/bg_ditu__-1419856986872822225",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","9,-50.7","196,96","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__1896962562325052437","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message2__-3365026156863845046/bg_ditu__-1419856986872822225/im_tanhao__1896962562325052437",True,True,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-694878043922505322_txzb_jiaobiao","25,-36","29,41","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message (1)__-8584369742311621021__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi5__-3779900899960565989/text_tmp_message2__-3365026156863845046/text_tmp_message (1)__-8584369742311621021__font_EPM",True,True,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,0","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","jiarutishi6__-9175449438888679380","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380",False,False,12,"RectTransform",False,False,False,False,,"-166,318","0,0","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message__4931415888997160304","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380/text_tmp_message__4931415888997160304",True,False,0,"RectTransform",False,False,False,False,,"321.5,-199.8","157.6,68.4","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","bg_ditu__-6650719374117714166","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380/text_tmp_message__4931415888997160304/bg_ditu__-6650719374117714166",True,False,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-3583236969578776251_BG_qipao","9,-50.7","196,96","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","im_tanhao__-7430407648752744986","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380/text_tmp_message__4931415888997160304/bg_ditu__-6650719374117714166/im_tanhao__-7430407648752744986",True,False,0,"CanvasRenderer|Image|RectTransform",False,False,True,False,"fid3_-5523981994665313114_IC_flower","15.5,-34.2","50,50","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_tmp_message (1)__-6422109887094493152__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380/text_tmp_message__4931415888997160304/text_tmp_message (1)__-6422109887094493152__font_EPM",True,False,1,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,10","157.6,25","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","text_bhll_message__7502400057504352220__font_EPM","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/middle__-8466828004930285515/gongnengrukou__-5389576201289399819/bg_gongneng__-2565117311671495054/toogles__-8086237336721494818/jiarutishi6__-9175449438888679380/text_tmp_message__4931415888997160304/text_bhll_message__7502400057504352220__font_EPM",True,False,2,"CanvasRenderer|RectTransform|TextMeshProUGUI",False,False,True,False,,"0,-12.2","157.6,25","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
"uidock_hierarchy","show_mask__-6048010144009652953","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_Dock_OpenStack_UI136/show_mask__-6048010144009652953",False,False,1,"CanvasRenderer|Image|RectTransform|RestoreClickLogger",False,False,True,True,,"0,0","1680,720","1,1,1","source-built UI_Dock hierarchy row; no coordinate-only patch applied"
