"category","source_backed_decision","name","path","active_self","active_in_hierarchy","sibling_index","child_count","component_types","has_button","button_interactable","has_graphic","graphic_enabled","graphic_raycast_target","graphic_maskable","graphic_material","graphic_color","image_sprite","image_type","image_preserve_aspect","text_sample","text_font","text_material","anchor_min","anchor_max","pivot","anchored_position","size_delta","rect_size","local_scale","local_position","local_rotation","screen_rect_valid","screen_rect","screen_min_x","screen_min_y","screen_max_x","screen_max_y","canvas_override_sorting","canvas_sorting_order","canvas_render_mode","nearest_canvas_path","nearest_canvas_sorting_order","canvas_group_alpha","mask_ancestors"
"hero_bg_target","audit_row_no_patch","btn_qinmi2__-4496666522938041730","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/btn_show__5912329455179860930/btn_qinmi2__-4496666522938041730","True","False","0","1","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid36_-1121192961255645693_T_daojudi","Simple","False","","","","1,0.5","1,0.5","0.5,0.5","-100,-252","158,142","158,142","0.8,0.8,1","534.98,-252,0","0,0,0","True","1464.107,126.569,1631.318,212.443","1464.107","126.569","1631.318","212.443","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","im_lover2__-6551334801611094637","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/btn_show__5912329455179860930/btn_qinmi2__-4496666522938041730/im_lover2__-6551334801611094637","True","False","0","0","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","1,1,1,1","fid36_-6076515594254935550_100591","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","-2,10.7","150,150","150,150","0.8,0.8,1","-2,10.7,0","0,0,0","True","1482.098,139.692,1609.094,212.261","1482.098","139.692","1609.094","212.261","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","btn_watch2__-1783372910209196927","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/btn_show__5912329455179860930/btn_watch2__-1783372910209196927","True","False","1","0","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid36_-2316428109377570394_IC_watch","Simple","False","","","","1,0.5","1,0.5","0.5,0.5","-100,-118","149,157","149,157","0.85,0.85,1","534.98,-118,0","0,0,0","True","1463.941,220.361,1631.484,321.24","1463.941","220.361","1631.484","321.24","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","guide_mask__2458966531894026455","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/guide_mask__2458966531894026455","False","False","7","0","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","0,0,0,0","","Simple","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","1680,720","1680,720","1,1,1","0,0,0","0,0,0","True","-271.216,87.866,1951.215,632.134","-271.216","87.866","1951.215","632.134","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","left__8354406432209300530","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530","True","True","3","10","RectTransform","False","False","False","False","False","False","","","","","False","","","","0,0.5","0,0.5","0.5,0.5","0,0","0,0","0,0","1,1,1","-634.98,0,0","0,0,0","True","0,360,0,360","0","360","0","360","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","bg_juese__-2194597288458085354","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354","True","True","0","15","Button|CanvasRenderer|Image|RectTransform|RestoreClickLogger","True","True","True","True","True","True","Default UI Material","1,1,1,1","fid1_-8620833274010506644_guanzhi_maozi4","Simple","False","","","","0.5,0.5","0.5,0.5","0,0.5","52.1,287.4","253.5,68","253.5,68","1,1,1","52.1,287.4,0","0,0,0","True","68.922,551.552,404.271,602.956","68.922","551.552","404.271","602.956","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","bg_guanzhi__-8964177782053028160","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/bg_guanzhi__-8964177782053028160","True","True","11","1","CanvasRenderer|Image|RectTransform|RestoreClickLogger","False","False","True","True","True","True","Default UI Material","1,1,1,1","fid1_4706490186155028499_guanzhi_maozi1","Simple","False","","","","1,0.5","1,0.5","0.5,0.5","-241.9,41.5","160,117","160,117","0.6,0.6,1","11.6,41.5,0","0,0,0","True","20.769,582.092,147.765,635.158","20.769","582.092","147.765","635.158","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","text_guan_num__8964452163957540604__font_riyu","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/bg_guanzhi__-8964177782053028160/text_guan_num__8964452163957540604__font_riyu","True","True","0","0","CanvasRenderer|RectTransform|TextMeshProUGUI","False","False","True","True","False","True","Default UI Material","1,0.923,0.401,1","","","False","2","GirlsWarStaticProbe_riyu_TMP","TMPShared_riyu_m4383744721098263825","0.5,0.5","0.5,0.5","0.5,0.5","1.8,12","0,15","0,15","1,1,1","1.8,12,0","0,0,0","True","85.696,610.666,85.696,617.469","85.696","610.666","85.696","617.469","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","bg_jingyan__-8940325714194732415","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/bg_jingyan__-8940325714194732415","True","True","5","1","CanvasRenderer|Image|RectTransform","False","False","True","True","False","True","Default UI Material","1,1,1,1","fid3_1851244188149330881_bg_zytx2","Simple","False","","","","1,0.5","1,0.5","0,0.5","-297.2,2.4","113,112","113,112","1,1,1","-43.7,2.4,0","0,0,0","True","11.112,536.736,160.597,621.4","11.112","536.736","160.597","621.4","False","0","","Canvas_MainInterface_1280x720","0","",""
"hero_bg_target","audit_row_no_patch","im_jingyan__8130398403142678456","Canvas_MainInterface_1280x720/MainInterface_Root_From_RectTransform_CSV/UI_MainInterface_old__2475216337245998118/left__8354406432209300530/bg_juese__-2194597288458085354/bg_jingyan__-8940325714194732415/im_jingyan__8130398403142678456","True","True","0","0","CanvasRenderer|Image|RectTransform","False","False","True","True","False","True","Default UI Material","1,1,1,1","fid3_-3354866890457298947_bg_zytx1","Filled","False","","","","0.5,0.5","0.5,0.5","0.5,0.5","0,0","113,112","113,112","1,1,1","56.5,0,0","0,0,0","True","11.112,536.736,160.597,621.4","11.112","536.736","160.597","621.4","False","0","","Canvas_MainInterface_1280x720","0","",""
