bundle,component_path_id,game_object_id,game_object_name,script_id,kind,keys
download/ui/uiprefabandres/maininterface.assetbundle,-9222968706698306483,8666480542967982485,im_bg,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-9221180739824337541,6035669282862624489,RedDot,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-9217492222081997782,1774505521901587768,zongxiang,-8634314620412448528,MonoBehaviour,mArrangeType;mItemPrefabDataList;m_Enabled;m_GameObject;m_Name;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-9210692139252458605,-786272667744349988,btn_qinmi2,-787143586316466668,Button,m_AnimationTriggers;m_Colors;m_Enabled;m_GameObject;m_Interactable;m_Name;m_Navigation;m_OnClick;m_Script;m_SpriteState;m_TargetGraphic;m_Transition
download/ui/uiprefabandres/maininterface.assetbundle,-9210450104231470196,-3258252110694695343,text_num,-7978266203517415465,Text,m_Color;m_Enabled;m_FontData;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_Text
download/ui/uiprefabandres/maininterface.assetbundle,-9198850071488046353,5688957898734943970,im_qipao1,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-9192694981992067958,-5897180191770163959,bg_ditu,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-9178804813875767773,-1373016432397272794,text,-5392852106782294089,MonoBehaviour,m_Enabled;m_GameObject;m_HorizontalFit;m_Name;m_Script;m_VerticalFit
download/ui/uiprefabandres/maininterface.assetbundle,-9169955995487634709,6099186281708994144,text_off,-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
download/ui/uiprefabandres/maininterface.assetbundle,-9168294202966799218,6235436557323404625,SkeletonGraphic (hongdian01),-6938409698251234290,MonoBehaviour,additiveMaterial;allowMultipleCanvasRenderers;canvasRenderers;enableSeparatorSlots;freeze;initialFlipX;initialFlipY;initialSkinName;m_Color;m_Enabled;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;meshGenerator;multiplyMaterial;screenMaterial;separatorParts;separatorSlotNames;skeletonDataAsset;skipByPass;startingAnimation;startingLoop;timeScale;uihide;unscaledTime;updateSeparatorPartLocation;updateWhenInvisible
download/ui/uiprefabandres/maininterface.assetbundle,-9156326753395310525,1892740585726117608,RawImage,9044316936709120141,MonoBehaviour,m_Enabled;m_GameObject;m_Name;m_Script
