bundle,component_path_id,game_object_id,game_object_name,script_id,interactable,target_graphic,transition,navigation_mode,on_click
download/ui/uiprefabandres/maininterface.assetbundle,-9210692139252458605,-786272667744349988,btn_qinmi2,-787143586316466668,1,-5933039584100590660,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-9041744500020260455,3162074945722731914,btn_watch2,-787143586316466668,1,-4748447924338192505,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-9032958569289589432,-5647506342881885069,btn_wuyu,-787143586316466668,1,2124802320436231798,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8999636901792923391,4414423848447911102,im_on,-787143586316466668,1,1734880909137488087,0,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8821730505365558659,3083949444157497813,Image,-787143586316466668,1,5361381824148513536,0,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8804151756104759869,-6650442623983403701,p_chat_private_head,-787143586316466668,1,7761132262403761647,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8776211812867205826,2922847382696197618,btn_baiqipao,-787143586316466668,1,4446730902541815039,0,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8728705840059073819,1630750051465371763,btn_tujian,-787143586316466668,1,8319727761154799259,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8668815627348339799,-4144483053331002271,btn_queding,-787143586316466668,1,-3131219336529591225,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8652188601832821423,269919480588369530,btn_act,-787143586316466668,1,-5158382986790754280,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8473891615554471404,3869015073929439079,btn_twitter,-787143586316466668,1,8826016253512548407,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8441242470338359690,-8369833855640364351,Image,-787143586316466668,1,4119631048371103533,0,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8437296917606767116,-9123751693895541893,bg_kaiguan,-787143586316466668,1,1451582001662149015,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8386238534062167627,-2853739761104602866,btn_shezhi,-787143586316466668,1,5336864295438899117,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8367117025283260214,-6973826045512480434,btn_qianwang,-787143586316466668,1,-6851312889637317973,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8326302838980580607,-5167024943332202910,btn_head,-787143586316466668,1,4391487219140736576,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
download/ui/uiprefabandres/maininterface.assetbundle,-8206573060511239618,869392885159435683,btn_huodong3,-787143586316466668,1,1351444076152444293,1,3,"{""m_PersistentCalls"":{""m_Calls"":[]}}"
