bundle,size,sha256,versionfile_res_offset,first_unityfs_offset,used_offset,is_prefix_obfuscated,clean_slice,status,object_count,type_counts
download/ui/uiprefabandres/maininterface_ext_act_511_10_3.assetbundle,332492,e6c6586295408db52bcfc39dfbcc0ecfab16de84f726fa4957820fcc8f9a1ea9,0,3814,3814,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_10_3.assetbundle,ok,31,"{""Sprite"": 15, ""Texture2D"": 15, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_10_3_long.assetbundle,1988710,08e7ace74468867de9cd2000d6e4ac7530375d36c0bcfcc0b8bf1541fdf47f5b,0,3815,3815,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_10_3_long.assetbundle,ok,31,"{""Sprite"": 15, ""Texture2D"": 15, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_10_4.assetbundle,183040,27241075fc9bd1e61e15cacc49a04ee48b9854639f0f97751f7b28b4c6ea466d,0,3814,3814,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_10_4.assetbundle,ok,17,"{""Texture2D"": 8, ""Sprite"": 8, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_10_4_long.assetbundle,1061659,a30342549098ba15466ebeb27a1974aca0b39d87dc696aa0d95ea690c669ee01,0,3815,3815,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_10_4_long.assetbundle,ok,17,"{""Sprite"": 8, ""Texture2D"": 8, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_3.assetbundle,27655,ffbd562d7e6ea64425ed177dae494d3c279e144eaaf908d9d6b7c6d0370bc167,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_3.assetbundle,ok,3,"{""Texture2D"": 1, ""Sprite"": 1, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_3_long.assetbundle,129867,7c33051936a1556002ea6d844838d90d82b13d903151150aa13b426b45c958a0,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_3_long.assetbundle,ok,3,"{""Sprite"": 1, ""Texture2D"": 1, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_4.assetbundle,221454,1901e228a8f370e50ba25b470cff7f1259fcd7cf1670acf230ae321edd95fd9d,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_4.assetbundle,ok,21,"{""Texture2D"": 10, ""Sprite"": 10, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_4_long.assetbundle,1296507,32609540009a93d5b6135e39beb9734339bc4889c8589a3ab0840c7d3f109411,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_4_long.assetbundle,ok,21,"{""Sprite"": 10, ""Texture2D"": 10, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_5.assetbundle,134914,b1733d67e4946ac12e51eb354d0609be6b212352df79f60c1c24b0c362198d04,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_5.assetbundle,ok,13,"{""Sprite"": 6, ""Texture2D"": 6, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_210_5_long.assetbundle,780236,b353d1a2a0e54d8338a0c148278186743a932db39818d456912ccced3c02cca1,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_210_5_long.assetbundle,ok,13,"{""Texture2D"": 6, ""Sprite"": 6, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_310_4.assetbundle,49438,2a54299620e3028dc86ecbbd4063158dc2bd8ad46f76e820059c0ddc143e07bb,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_310_4.assetbundle,ok,5,"{""Sprite"": 2, ""Texture2D"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_511_310_4_long.assetbundle,271772,9af89510624c1c9e7ff47afd2783f9802e710ec929f45b4c8ba97bd8f6d607ea,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_511_310_4_long.assetbundle,ok,5,"{""Texture2D"": 2, ""Sprite"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_1.assetbundle,241200,965af8a5f5f32942d9c37fbe87e012300aaa4cd2a5bd75feb2198547ad3d8224,0,1878,1878,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_1.assetbundle,ok,23,"{""Sprite"": 11, ""Texture2D"": 11, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_1_long.assetbundle,1387088,14286d573031d2e8a2ac8cb02ab71a3d9b88e1ee3f145c9e0ccca2456e84e9ef,0,1875,1875,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_1_long.assetbundle,ok,23,"{""Texture2D"": 11, ""Sprite"": 11, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_2.assetbundle,38119,5466a2b58e87cc2abc6210203cbf9815f53c3c1b81e2c3a85962f2831ab280b7,0,1878,1878,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_2.assetbundle,ok,9,"{""Sprite"": 4, ""Texture2D"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_2_long.assetbundle,493604,b28ae3bde09961e0746953caee60e80dc8570809c1c5cc059da2e5c8d6b65b24,0,1875,1875,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_2_long.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_4.assetbundle,26867,f88e948524fd1db4abc1b6508a903330d2ded746c5cafb121525dc1fb729ed41,0,1878,1878,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_4.assetbundle,ok,3,"{""AssetBundle"": 1, ""Sprite"": 1, ""Texture2D"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_10_4_long.assetbundle,128248,6a02039046a3855d78174cf0f2595516514053b60f1230445c86f9b6c75d6c39,0,1875,1875,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_10_4_long.assetbundle,ok,3,"{""Texture2D"": 1, ""AssetBundle"": 1, ""Sprite"": 1}"
