feedId,title,artName,createdDate,articleUrl,imageUrl,matchStatus,matchedActorId,matchedKind,matchScore,phashDistance,histDistance,scoreGap,matchedLocalPath
4155958,소녀전쟁 | UR 메이린,메이린,20240530121619,https://game.naver.com/lounge/girlwars/board/detail/4155958,https://nng-phinf.pstatic.net/MjAyNDA1MzBfMTUx/MDAxNzE3MDM4ODY2ODcx.KayOpIRlZ0QKpFQIAxKX7-KQ2Gk-zQKRY08EHp_M1-kg.aVIQbVdQiB7e7E8abujNd9PAkvEpSqvVW-GQTyZ2dIog.PNG/UR%EB%A9%94%EC%9D%B4%EB%A6%B0.png?type=w1678,candidate,1039,T_ditu,37.495,28,0.7912,0.844,girlswar_merged_extracted/extracted/unity/bundles/b_877b6659dcce2bf6/images/T/-1127199326160469639_T_ditu_1039.png
4034864,소녀전쟁 | UR 샤를마뉴,샤를마뉴,20240509151905,https://game.naver.com/lounge/girlwars/board/detail/4034864,https://nng-phinf.pstatic.net/MjAyNDA1MDlfMTM3/MDAxNzE1MjM1NDMzMDc5.EDrLtrJI4YqPyk39LArCqGoe55eqd6fCCwmq2GOTDV4g.eSdB8fb2Vsagrp3AdGauFPm1jD-yjiUdvLUu0UVDEVEg.JPEG/UR%EC%83%A4%EB%A5%BC%EB%A7%88%EB%89%B4.jpg?type=w1678,candidate,21081,T_ditu,37.396,26,0.9497,3.216,girlswar_merged_extracted/extracted/unity/bundles/b_4c7c5baa5e9058c1/images/T/-1603485067705307152_T_ditu_21081.png
3934512,소녀전쟁 | UR 토모에 고젠,토모에 고젠,20240418152345,https://game.naver.com/lounge/girlwars/board/detail/3934512,https://nng-phinf.pstatic.net/MjAyNDA0MThfMzYg/MDAxNzEzNDIxMzg2NjIy.dPPQ0mkdCULSjxfPajN_1YlMqLPGzWf4VZTMQAFnOoog.5AvuYOUbare9FM0h_TDoG3ghye6Y8lgqj29tJVJAwNYg.PNG/UR%ED%86%A0%EB%AA%A8%EC%97%90%EA%B3%A0%EC%A0%A0.png?type=w1678,candidate,1003,T_ditu,35.773,20,1.3145,3.26,girlswar_merged_extracted/extracted/unity/bundles/b_8b3d57fee82a9285/images/T/1839393199856367028_T_ditu_1003.png
3857683,소녀전쟁 | UR 솔로몬,솔로몬,20240402144051,https://game.naver.com/lounge/girlwars/board/detail/3857683,https://nng-phinf.pstatic.net/MjAyNDA0MDJfOTMg/MDAxNzEyMDM2NDA4Nzcx.hgXuipvYCwMWLyuILrf7O5t6ZWVok42n3i6U3J6zDiIg.tE3JqFQk4Cmg0VCWLtPW4VatLbT-TP05p1lgL4qkVDkg.JPEG/UR_%EC%86%94%EB%A1%9C%EB%AA%AC.jpg?type=w1678,candidate,31114,T_ditu,35.628,22,1.1356,1.794,girlswar_merged_extracted/extracted/unity/bundles/b_82621f4a9ae4464f/images/T/2654555153317577398_T_ditu_31114.png
3741211,소녀전쟁 | UR 사나다 유키무라,사나다 유키무라,20240314131316,https://game.naver.com/lounge/girlwars/board/detail/3741211,https://nng-phinf.pstatic.net/MjAyNDAzMTRfOTQg/MDAxNzEwMzg5NTIzODIx.O_dcEK54j0sIT6G7TiY5Ygl88BBy3JHFXvyUGwyytRcg.kZneim4zqEVwEKHnq7IQON-3Fh_5bb_40RgJVYKVmdcg.JPEG/UR%EC%82%AC%EB%82%98%EB%8B%A4%EC%9C%A0%ED%82%A4%EB%AC%B4%EB%9D%BC.jpg?type=w1678,candidate,21089,T_ditu,42.078,28,1.1732,1.086,girlswar_merged_extracted/extracted/unity/bundles/b_7ae64d8700d011e1/images/T/-6094562971835647758_T_ditu_21089.png
3741204,소녀전쟁 | UR 조소카베 모토치카,조소카베 모토치카,20240314131130,https://game.naver.com/lounge/girlwars/board/detail/3741204,https://nng-phinf.pstatic.net/MjAyNDAzMTRfMyAg/MDAxNzEwMzg5MjUzNTQ4.i7LNXvcPae_04iibnL0CS9WjdPMYG7BbthIUnbzGLVcg.M3U71v0fMCDMI6FJZdzdLrYgoXOfCtU8SEEA7P_QAZ8g.JPEG/UR%EC%A1%B0%EC%86%8C%EC%B9%B4%EB%B2%A0.jpg?type=w1678,candidate,1059,T_ditu,37.443,26,0.9536,1.13,girlswar_merged_extracted/extracted/unity/bundles/b_02867b620c95eeaa/images/T/-1534897939735413883_T_ditu_1059.png
3519425,소녀전쟁 | UR 아베노 세이메이,아베노 세이메이,20240201185435,https://game.naver.com/lounge/girlwars/board/detail/3519425,https://nng-phinf.pstatic.net/MjAyNDAyMDFfMjUx/MDAxNzA2NzgxMDk3MzQ4.kMrdq9BtPFEVNS347YO3kS_b72o0uqftZcYaRUXilcQg.UUxRmsgrQ69zDKeqlcNWDnsl6GZ30osTy64ftiKR3Ekg.JPEG/UR%EC%95%84%EB%B2%A0%EB%85%B8%EC%84%B8%EC%9D%B4%EB%A9%94%EC%9D%B4.jpg?type=w1678,candidate,1039,T_ditu,36.307,24,1.0256,0.747,girlswar_merged_extracted/extracted/unity/bundles/b_877b6659dcce2bf6/images/T/-7454931991583012834_T_ditu_marry_1039.png
3460149,소녀전쟁 | UR 카이사르,카이사르,20240119170722,https://game.naver.com/lounge/girlwars/board/detail/3460149,https://nng-phinf.pstatic.net/MjAyNDAxMTlfMTY4/MDAxNzA1NjUxNTgyNzEw.E7ulgUyPFPMwrvlowshmcW33pVwARunBSQXbtHBYB3Ug.0qxgqPeYyvxK_SVQYub83gLF290AMukGrjMfZqWcbJ8g.JPEG/UR%EC%B9%B4%EC%9D%B4%EC%82%AC%EB%A5%B4.jpg?type=w1678,candidate,31114,T_ditu,39.43,28,0.9525,0.354,girlswar_merged_extracted/extracted/unity/bundles/b_82621f4a9ae4464f/images/T/2654555153317577398_T_ditu_31114.png
3353906,소녀전쟁 | UR 조자룡,조자룡,20231229145542,https://game.naver.com/lounge/girlwars/board/detail/3353906,https://nng-phinf.pstatic.net/MjAyMzEyMjlfMTY2/MDAxNzAzODI5MjY2NjUw.4OZHf6tqSGbwrQ1vW0VYBtIkAd9LYnXBjfTkWzKk0Z4g.XTqKKCwUBNuz6I9yhsATEGbwq6s9rgLI5Ld8n6HiYpog.PNG/UR%EC%A1%B0%EC%9E%90%EB%A3%A1.png?type=w1678,candidate,21081,T_ditu,37.435,26,0.9529,0.349,girlswar_merged_extracted/extracted/unity/bundles/b_4c7c5baa5e9058c1/images/T/-1603485067705307152_T_ditu_21081.png
3343678,소녀전쟁 | UR 산타 원화,산타 원화,20231227150537,https://game.naver.com/lounge/girlwars/board/detail/3343678,https://nng-phinf.pstatic.net/MjAyMzEyMjdfMTgg/MDAxNzAzNjU3MTg1NTE5.ZBG65FEVuucWH7o969ZnZwU_ee1PSrVf-9XipFArRa4g.4lN4AtoID_H0rr49bEOlv-2zBTpbvnuw9YTJsVDUj4Ig.JPEG/%EC%82%B0%ED%83%80UR-CF2(1).jpg?type=w1678,candidate,1008,Painting,40.49,26,1.0825,0.18,girlswar_merged_extracted/extracted/unity/bundles/b_255f3c2f548b9c6d/images/T/-8643402310949154556_Painting_1008.png
